-64.1563	-61.8474
-64.1705	-61.8585
-64.2191	-61.8909
-64.2230	-61.8832
-64.2276	-61.8742
-64.2357	-61.8583
-64.2429	-61.8442
-64.4642	-62.2096
-64.4839	-62.0897
-64.5511	-62.1088
-64.5787	-62.3130
-64.6402	-62.2641
-64.7201	-62.1976
-64.6154	-62.2395
-64.6119	-62.2605
-64.6081	-62.2835
-64.6044	-62.3055
-64.5741	-62.4874
-64.5494	-62.6282
-64.5277	-62.7395
-64.5394	-62.7639
-64.5479	-62.7413
-64.5323	-62.8548
-64.5284	-62.8825
-64.4610	-63.1085
-64.4111	-63.2219
-64.4934	-63.0866
-64.4897	-63.0925
-64.5129	-63.1004
-64.5438	-63.1696
-64.5575	-63.2430
-64.5807	-63.3688
-64.3622	-63.0741
-64.3626	-63.0701
-64.3749	-63.2872
-64.3523	-63.1169
-64.3216	-63.1668
-64.3097	-63.1862
-64.2958	-63.2088
-64.2893	-63.2193
-64.2270	-63.2687
-64.2134	-63.2882
-62.9659	-62.8235
-63.3108	-63.4605
-63.4958	-63.6015
-63.0500	-62.5761
-63.1720	-63.0230
-63.0621	-62.2640
-63.2940	-62.7241
-63.6275	-63.4878
-63.2398	-63.0425
-63.5555	-63.4245
-63.6269	-62.2404
-63.6069	-62.1664
-63.5835	-62.1820
-62.9356	-62.8818
-63.5848	-62.0733
-63.1386	-63.0960
-63.6358	-62.1492
-63.1828	-63.2248
-63.6531	-62.5135
-63.4327	-63.3973
-63.6311	-63.6804
-63.6231	-62.1012
-63.6230	-62.2376
-63.5500	-62.6954
-63.5941	-62.2008
-63.5789	-62.2134
-63.6896	-61.9394
-63.5814	-62.5346
-63.6001	-62.1295
-63.6326	-62.2573
-63.5912	-62.2266
-63.5848	-62.0903
-63.7160	-62.0755
-63.5630	-61.9404
-63.5569	-61.9653
-63.6128	-62.1142
-63.5737	-61.8667
-63.5919	-62.1311
-63.6543	-62.1045
-63.6647	-62.2251
-63.6782	-62.3002
-63.6427	-62.0626
-63.6521	-62.0008
-63.7078	-61.8977
-63.7447	-61.9883
-63.7136	-62.0112
-63.7174	-61.9842
-63.7463	-62.0303
-63.7280	-61.9760
-63.7106	-62.0384
-63.6507	-62.0105
-63.6192	-62.1667
-63.6295	-62.0770
-63.6100	-62.0546
-63.7725	-62.0824
-63.6331	-62.1577
-63.6863	-62.3127
-63.5849	-62.1557
-63.5840	-62.1355
-63.5676	-62.2190
-63.6324	-62.1640
-63.5406	-62.4416
-63.3019	-62.4935
-63.5037	-62.0889
-63.6509	-61.9775
-63.6391	-61.9850
-63.7008	-62.1073
-63.6675	-62.3392
-63.5602	-61.9483
-63.6265	-62.0553
-63.6397	-62.1662
-63.6405	-62.2127
-63.6224	-62.1556
-63.6296	-62.0359
-63.7440	-62.1618
-63.6531	-61.9143
-63.6653	-62.0060
-63.6760	-62.6039
-63.5944	-62.2249
-63.6496	-62.1170
-63.6385	-62.1077
-63.6981	-62.0937
-63.6956	-62.0676
-63.6428	-62.1327
-63.6609	-62.1861
-63.6739	-62.0397
-63.6346	-62.1206
-63.6267	-61.9536
-63.6547	-62.0523
-63.6289	-62.1006
-63.6338	-62.0851
-63.6420	-62.0763
-63.5989	-62.0477
-63.6384	-61.9928
-63.6313	-62.0241
-63.6318	-62.0114
-63.5442	-62.0088
-63.6346	-62.0703
-63.6581	-61.8965
-63.6435	-62.0221
-63.6485	-62.0926
-63.6630	-62.1293
-63.6804	-62.0925
-63.6596	-62.0519
-63.6721	-62.0502
-63.6098	-61.9859
-63.6293	-62.0853
-63.6571	-62.2263
-63.9487	-62.9391
-63.2315	-62.9196
-63.3084	-62.9487
-63.0691	-62.4594
-63.3285	-62.7388
-63.6285	-62.8280
-63.9170	-63.3589
-62.9590	-63.0082
-63.0821	-63.1896
-63.1483	-63.2158
-64.0745	-63.4332
-63.7164	-62.0925
-63.7738	-61.9400
-63.8352	-62.1448
-63.8380	-61.9960
-63.8207	-61.9168
-63.8637	-62.0346
-63.9187	-61.9732
-63.8621	-61.9604
-63.8171	-61.9146
-63.7588	-61.8626
-63.1482	-62.2621
-63.4987	-62.7825
-63.7053	-63.1876
-63.0537	-62.3114
-63.9451	-63.5413
-63.3651	-62.6546
-63.5858	-63.2422
-63.8976	-63.5232
-63.2044	-62.0655
-63.1747	-62.0822
-63.4148	-62.2658
-63.6306	-62.1451
-63.5573	-61.9619
-63.1933	-62.3153
-64.1402	-63.1559
-63.7148	-63.2090
-63.7036	-63.1604
-63.6991	-62.5804
-63.7020	-62.7740
-63.6984	-62.8347
-63.5799	-62.7544
-63.4977	-62.4122
-63.1120	-62.5887
-63.1660	-62.9321
-63.2707	-63.2262
-63.4008	-63.4884
-63.4319	-63.6217
-63.5013	-63.5546
-63.5621	-63.6741
-63.4858	-63.6364
-63.5519	-63.6145
-63.3685	-63.4756
-63.2764	-63.3441
-63.4194	-63.4631
-63.4206	-63.5747
-63.4717	-63.6134
-64.8282	-63.0889
-64.8052	-63.0284
-64.7629	-62.9984
-64.7372	-63.0111
-64.7014	-63.0203
-64.6510	-62.9128
-64.5494	-62.7540
-64.5425	-62.7383
-64.5594	-62.4357
-64.5501	-62.5456
-64.4844	-62.3508
-64.3610	-62.0900
-64.2702	-61.8487
-64.8139	-62.7724
-64.7428	-62.5684
-64.7489	-62.6734
-64.7484	-62.6407
-64.7380	-62.6260
-64.7432	-62.6447
-64.7495	-62.6677
-64.7604	-62.7076
-64.7403	-62.6493
-64.7272	-62.6362
-64.7551	-62.6685
-64.7509	-62.6853
-64.7428	-62.7180
